Route,Name,Grade,Type,Length,AreaID
radagast-direct,Radagast Direct,5.8+,"Trad, TR",35 ft,201172980
second-edition,Second Edition,5.5,TR,45 ft,200412107
flake-of-rust,Flake of Rust,5.12a,"Sport, TR",40 ft,105790295
rock-on-left,Rock On Left,5.11c,Sport,40 ft,105790295
topped-off,Topped Off,5.12a,"Sport, TR",30 ft,105790295
lunch-rock-direct,Lunch Rock Direct,5.10d,"Trad, TR",30 ft,105790307
lunch-rock-center,Lunch Rock Center,5.10c,"Trad, TR",30 ft,105790307
acrobat,Acrobat,5.11,"Sport, TR",50 ft,105790295
chimney-sweep,Chimney Sweep,5.10a,"Trad, TR",70 ft,200412098
the-salty-slug,The Salty Slug,5.10-,"Sport, TR",60 ft,200412107
sunnyside-of-strider,Sunnyside of Strider,5.9,TR,50 ft,201172980
imagining-mordor,Imagining Mordor,5.8-,Trad,60 ft,201172980
fare-thee-well,Fare Thee Well,5.3,"Trad, TR",40 ft,200412136
between-two-towers,Between Two Towers,5.7,TR,50 ft,201172212
gratitude,Gratitude,5.10b,"Sport, TR",55 ft,200412107
z-dog,Z-dog,5.10b,Sport,40 ft,200412107
madison,Madison,5.9,"Sport, TR",35 ft,200412117
burrito,Burrito,5.7,"Sport, TR",25 ft,200412117
grumpy-goat,Grumpy Goat,5.10c,"Sport, TR",60 ft,200412107
moments-of-zen,Moments of Zen,5.11b,TR,40 ft,201172223
high-anxiety,High Anxiety,5.11a,"Sport, TR",25 ft,105790295
goatless,Goatless,5.8,Trad,60 ft,200412107
lamb-jam,Lamb Jam,5.7,Trad,30 ft,200412107
cam-jam,Cam Jam,5.8+,Trad,30 ft,200412098
bolg,Bolg,5.10+,TR,30 ft,201172980
celebrimbor,Celebrimbor,5.12-,TR,50 ft,201172212
dope-on-a-rope,Dope on a Rope,5.11,"Sport, TR",40 ft,201172980
viva-la-resistance,Viva La Resistance,5.12-,"Sport, TR",25 ft,200412065
encore,Encore,5.12b,Sport,30 ft,105790295
buttered-donkeys,Buttered Donkeys,5.5,"Trad, TR",20 ft,201033928
first-impressions,First Impressions,5.7,"Trad, TR",20 ft,201033928
hippopotamus,Hippopotamus,5.6,"Trad, TR",20 ft,201033928
ring-my-bell,Ring My Bell,5.6,"Trad, TR",20 ft,201033928
great-gimli,Great Gimli,5.7,Trad,30 ft,201172223
beluga,Beluga,5.6,Trad,45 ft,105790307
echo-location,Echo Location,5.10a,"Trad, TR",20 ft,201033928
for-whom-the-hee-haws,For Whom The Hee Haws,5.7,Sport,20 ft,201033928
vermont,Vermont,5.8,"Trad, TR",20 ft,201033928
pipe-dream,Pipe Dream,5.11c/d,TR,20 ft,201033928
eventoed-ungulates,Eventoed Ungulates,5.5,"Trad, TR",25 ft,201033928
foot-notes,Foot Notes,5.11c,"Trad, TR",40 ft,201172223
big-bruiser,Big Bruiser,5.9,"Trad, TR",25 ft,201172223
cruisin-for-a-bruisin,Cruisin' for a Bruisin',5.8,TR,25 ft,201172223
foe-hammer,Foe Hammer,5.9+,"Sport, TR",40 ft,201172975
rings-of-power,Rings of Power,5.10a/b,"Sport, TR",40 ft,201172975
say-my-name-sauron,Say My Name Sauron,5.11a,"Sport, TR",40 ft,201172975
step-exit,Step Exit,5.8,TR,15 ft,201033928
crisp-wall,Crisp Wall,5.10-,Trad,20 ft,201033928
the-railing,The Railing,5.10a/b,TR,70 ft,105790307
dirty-deeds-done-dirt-cheap,Dirty Deeds (Done Dirt Cheap),5.10a/b,"Sport, TR",50 ft,200412107
look-up-link-up,Look Up Link Up,5.8,Trad,,201172980
knob-job-bypass,Knob Job Bypass,5.10-,"Trad, TR, Boulder",30 ft,105790295
false-mission-gorge-traverse,False Mission Gorge Traverse.,5.10a,Boulder,100 ft,105790295
missionary-mantle,Missionary Mantle,V1,Boulder,13 ft,108837800
flight-of-the-conquistadores,Flight of the Conquistadores,V3-4,Boulder,18 ft,108837800
the-shaman-and-the-priest,The Shaman and The Priest,V7-8,Boulder,,108837800
sacred-land,Sacred Land,V6+,Boulder,15 ft,108837800
grinding-stone-mantle,Grinding Stone Mantle,V8,Boulder,12 ft,108837800
grinding-stone-arete,Grinding Stone Arête,V2-3,Boulder,15 ft,108837800
tomahawked,Tomahawked,V3,Boulder,12 ft,108838170
chopping-block,Chopping Block,V0-,Boulder,10 ft,108838170
old-school-problem-1,Old School Problem  1,5.9,Boulder,15 ft,108837966
old-school-problem-2-aka-south-arete,Old School Problem  2 AKA South Arête.,5.11a,Boulder,15 ft,108837966
old-school-problem-3-aka-southwest-arete,Old School Problem  3 AKA  Southwest Arête,5.11d,Boulder,15 ft,108837966
big-orange,Big Orange,5.12,Boulder,16 ft,108837966
old-school-problem-5-aka-the-north-arete,Old School Problem  5 AKA The North Arête,5.7,Boulder,12 ft,108837966
quarantine-dreaming-vs-danger-noodle,Quarantine Dreaming VS Danger Noodle,V0,Boulder,10 ft,118959664
down-climb-problems,Down climb problems,V0,Boulder,8 ft,108837966
unnamed-v23-traverse,Unnamed V2/3 Traverse,V2-3,Boulder,15 ft,108837966
split-pea-travers,Split Pea Travers,V3+,Boulder,15 ft,121153785
les-girls,Les Girls,V1,Boulder,8 ft,122780855
ariels-vacation,Ariel's vacation,V-easy,Boulder,7 ft,122780855
flight-of-the-missionary,Flight of the Missionary,V7-8,Boulder,10 ft,108837800
skinny-pete,Skinny Pete,V0,Boulder,13 ft,201033928
stinky-pete,Stinky Pete,V3,"TR, Boulder",13 ft,201033928
